text,id,product_quality,staff_service,queues_checkout,assortment_availability,store_cleanliness,other_problem
"зашла сегодня в этом магазин и получила невероятные эмоции!\nесли магазин по себе хороший, то персонал это вообще отдельная тема \nвозможно кассиру очень надоело работать здесь \nибо грубят всем \nпокупаешь едк и получаешь в дополнение ненависть от продавца \nна мою шутку о том, что если это окажется другая булочка, а не которую мне пробили, я расстроюсь и обижусь, меня обвинили в угрозах и сказали, что все сегодня злят её\nкороче очень весело, если желаете, чтобы вас унизили, то заходите ",71267,False,True,False,False,False,False
"Здравствуйте, ребята спар магазин меня бест честно,😏 что за отношения я специально ихний карту пребрела и что вы думаете? Ничего не изменилось ничего цена такая нет никаких скидки вот что мне делать? Вот подумала может на них жаловаться 🤔 . Ну будет ли только интересно 🙄 что нибудь изменится или так останется? И у них чек тоже надо выпрашивать и у них очередь одна касир работает что за такой магазин просто кошмар .",398666,False,False,True,False,False,False
Очень приятный персонал приветливый подскажет где какой товар лежит,66108,False,True,False,False,False,False
"Отвратительный филиал магнита.👎🏼👎🏼👎🏼\nНовый современный ЖК и такой ужасный магазин.\n\nМы понимаем что сеть «Магнит» относится к классу эконом магазинов,но такое безобразие недопустимо.\nПервое ощущение с которым сталкиваешься при входе в магазин это теснота и грязь.\nОчень узкие проходы между отделами,товар разбросан на полках будто на списание,некоторые товары не самого свежего вида.\nБольшинство ценников на товар отсутствует,а иногда ценники и вовсе неправильные,но об этом ты узнаешь только на кассе.\nВообще с ценниками странно у них.\nЦена на товар меняется каждый день который не сходится и явно завышены по сравнению с ценами из другого магнита  соседнего района.\n\nРабочий персонал постоянно ругается и выясняет отношения прямо в зале на своем «не русском языке» прямо при посетителях.\n\nЛюди вынуждены ходить сюда и терпеть вот это все,потому что другого пока нет в этом классе.\nНадеемся что что обстоятельства изменятся к лучшему,нужно менять директора иначе этот бардак не изменится.\nНе помешало бы еще проверку отправить сюда,пусть пройдутся по всем пунктам.",97764,True,True,False,False,True,False
"Отличный супермаркет. Есть акции, свежие фрукты, готовая еда. \nСегодня взяла сет лайт(ролл дракон лайт и ролл Филадельфия лайт).\nПришлось отдельно докупать соевый соус, в набор не входит. Всего роллов было 8 штук. И вот на эти 8 штук роллов в набор положили 3!!! листочка имбиря. Это издевательство",300512,False,False,False,False,False,False
"Сегодня (11.04.2023) в 16.30 в магазине Дикси, который находится на Фабрике 1-мая, на витрине отсутствовали пеленки 60х60 Baby Boom. Я специально поехала в этот магазин, так как приложение Дикси показывало, что они там есть. На мою просьбу посмотреть данные пеленки на складе (ранее мне сотрудницы всегда проверяли наличие на складе и всегда выносили оттуда, если пеленок не было на витрине и по каким-то причинам их не успели вынести. Всегда. В другим магазинах Дикси тоже!), на что сотрудница Вашего магазина нагло и по хамски ответила мне, что «все в зале» и далее плотностью проигнорировала мои слова про приложение и продолжение моей просьбы. Это абсолютно хамское и ненормальное отношение и поведение для сотрудника магазина. Именно из-за таких людей портится марка магазина и не хочется в него больше заходить. Руководству магазина стоило бы поговорить со своими сотрудницами и объяснить в чем заключаются их ошибки. Если бы мне хотя бы вежливо объяснили, что они закончились и приложение показывает ложные данные, этого отзыва бы не было. И я уверена, что пеленки на складе все таки находились.",355930,False,True,False,True,False,False
"Неплохой выбор товара. Продавцы почти всегда хамят. Чек, если сам не попросишь, не дают никогда.  При мне продавец отшила пятерых покупателей, и меня пыталась, ссылаясь на то, что она устала, и ей нужен перерыв, за пол часа до закрытия магазина, когда идёт основной поток покупателей. Когда я отказался уйти, сказала, что обслужит, но на будущее будет иметь ввиду... Про такое хамство только в рассказах слышал. Не понимаю почему руководство не разберется с этим вопросом, это не только в этом магазине, а видимо во всей сети. Встречался с подобными проявлениями и в других магазинах ""Ермолино"".",78269,False,True,False,False,False,False
"Ассортимент маленький, товар расставлен от пола и почти до потолка, ничего не видно. Либо на четвереньки вставать, либо стремянку с собой носить. Алкоголь (водка) неизвестных марок и сомнительного качества. Вина ужасные, почти все с консервантом (диоксид серы), как-то взяли - вкус мерзкий. Минералка пахнет водопроводной водой. Но, есть и один плюс - вкусное мороженое. Ходим в сию забегаловку только за мороженым. Начальство таких магазинов просто не уважает покупателей, если торгует таким ... товаром.",479072,True,False,False,True,False,False
"Персонал агрессивный. В магазине есть ценник на товар, а самого товара нет(иногда бывает такое, что товар есть а ценника нет). Сервис отстой, магазин пошарпанный",312589,False,True,False,True,False,False
"Кошмар! Описываю ситуацию. Во первых очень грязно! Ну очень!! Правда клоповник . Во вторых . Была сегодня от безысходности (шел дождь). Товаровед , как выяснилось позже ,мужчина средних лет очень неприятной наружности, раскладывал товар , на вопрос где вода ткнул пальцем даже не смотря в мою сторону , идем дальше , на кассе девушка , угрюмая , агрессивная, грубила всем покупателям , ни какого упоминания о вежливости и быть не может , я сообщила , что взяла пакет, на что мне ответили , что и без меня видят , ок… в ответ не здоровается , на вопросы отвечает односложно и просто «ЧЕ?!» думаю на рынке продавщицы более уважительнее относились бы ко мне, попросила пробить сникерс , позже поняла, что налички не хватает и отменила второй продукт, решила расплатиться картой , девушка швырнула все продукты и ушла . Вот так , без объяснений , долго бродила по магазину , никто не отвечал , кто - же тут директор?) товарищ товаровед ухмылялся когда я позвонила в поддержку.  Одеты в грязную\nУниформу , на девушке так ее и вовсе не было) -100000 . Разберитесь уже , что творится в этом магазине у дома )",105847,False,True,False,False,True,False
"Кухня не плохая. Но готовьтесь у тому,что с порога вас облают 3 богатыря!!! Т.е 3 женщины -сотрудницы,которым сильно не угодила ваша маленькая собака. Понимаю,есть правила заведения. Но,неужели,нельзя научить этих дам ,хотя бы ,нескольким вежливым фразам.Ведь,подать информацию ,даже неприятную для посетителей,можно в более мягкой форме. Я не люблю сравнивать, Россия -моя любимая родина!! Но  в Европе моей собаке рады ВЕЗДЕ!! И в каждом заведении у нее будет возможность полежать под кондиционером и попить воды из миски,любезно предложенной заведением. И вишенка на торт- туалет на улице ,платный (20 руб и ТОЛЬКО НАЛИЧКОЙ😱😩) Люди,без добрых поступков мы не выживем!!РОСИИЯ ВПЕРЕД!!!",483405,False,True,False,False,False,False
"Товар не всегда свежий, надо проверять срок годности. Кассиры всегда чем то не довольны, как будто я у них в долг прошу. Не здрасьте не до свидания. ",368630,True,True,False,False,False,False
"Раньше эта компания называлась ООО Избенка, сейчас Избенка осталась так же на российском рынке, а вкусвилл просто новый проект(кем придуман, как основан вся информация имеется)!\nС учетом того, что клмпания досточно не бедная, но не обошлось без неких подводных камней(я о скандалах связанных с данной компанией) и все же, на рынке компания дрстаточно успешна, но не это интересно, интресно, что многие информационнные агенства считают, что вкусвилл все же задирает цены, так они привыкли в москве. \nДа и не хотят ставить цены ниже, если народ все равно будет покупать, а народ будкт до упора покупать то, что им впаривают!\nВсе кисло! Я не знаю к чему эти магазины, в них пол беды, что нет не чего, так ещё и обычные продукты стоят в разы дороже!\nПройти через дорогу и немного пройти до Дикси, можно купить то же самое, но в разы дешевле!\nДа и выбор там больше!\nМне ответила компания вкусвилл так вот в их ответе значилось, что в остальных магазинах продукция опасна для здоровья по этому все дешевле и лишь для них выращивают кур на специальном заводе(хотя бкльон с них такой же просто жирный и куриного бульона, как он должен быть с них нет), мясо исключительно из скота кормящегося на закрытых территориях и выращенным исключительно их биологами корамами, да они даже круче мироторга у которых по всей обдасти идеальной чистоты заводы и там даже шагу не ступить постороннему, чистота везде идеальная а товар принимают, проверяют люди в белых халатах, бахилах и масках, где к примнру бойня мое показали, сам бы не когда не узнал бы, не запаха, не капли отходов на террктории! Но - это пол беды!Возьем алкоголь, он у них то же идеальный, настоящий, но только со склада в видном или москвы, а так настоящий, только импартер указан, а в том же магнит одно время продавался коньяк(ну понимаете, что коньяк - это не у нас) и все же, одно и то же название, толко один коньяк без импортера и народ в восторге, а другой со склада в москве и от него народ недоумевал почему так плохо(мне хорошо, я вообще не пью, просто разбираюсь в алкоголе), а так все одинаково! Зелень; Всю зелень у нас сейчас ростят китайцы, арендуют пдощади и работают, а вкус вилл навнрное сам выращивает, или приплачивает китайцам, чтоб опредленную территорию поливали родниковой водой и не сыпали туда не каких удобрений, яблоки у них то же со специальных деревьев которые растут не, как все яблони, а еще интереснее, что яблоки не со склада, а из сада прям! Молоко и молочные продукты, у них исклбчительно из под коровы которая пасется аккурат за магазином, да на специально выращеноой травке в каком то закрытом хозяйстве, чтоб в нее не чего не попало! Да на ферме молоко дешевле, да чего там на ферме, через дорогу продается молоко из Фидюково, так там сливки в нем и цена за 2 литра 160 рублей(разницу видите)! Очень нравится когда каждый кулик хвалит свое поле, но других то за чем принижать? Можно было бы множество сравннний написать тут не в пользу этого магазина, но кому - это надо, народ считает, раз дороже, значит вкуснее, полезнее, наверное именно по этому сейчас подорожали все продукты ибо навнрное решли, что теперь все дорогое будет скупаться! А о пенсионноах кто нибудь задумался? \nИм то же хочется и молока и мяса и картошечки с лучком! Оценка остается не изменной, магазин просто накручивает цены и не более того, к тому же продукты из этого магазина были опробованы, абсолютно нет отличия от дургих продуктов, но молоко все же лучше через доргу федюковское!",442837,False,False,False,True,False,False
"Как не зайдешь: один едиственный кассир, одна из трех работающих касс самообслуживания! И при этом этот один единственный кассир должен еще бегать на самообслуживание, чтобы подтверждать возраст! Люди устают ждать и уходят не дождавшись своей очереди, раскидывая оставленный товар где попало! Какой позор и хаос. Уж лучше пойти и купить все в соседнем супермаркете, чем в Ленте в которой вообще ничего невозможно купить. ",474573,False,False,True,False,False,False
"Хочу спросить у собственников Дикси вас устраивают такой магазин и персонал, который обслуживает покупателей? Покупатель всегда прав, по правилам торговли. Какое то своё отдельное государство, которое якобы не принадлежит к сети Дикси. Ценники меняем когда хотим, грязь, кассы мы закрываем в 22:45, хотя работа магазина до 23:00. Придёшь в магазин в 22:45, как пришла к кассирам лично домой!!! Вечно не давольные или ибиженные жизню кассиры. ",419007,False,True,True,False,True,False
"Ни тележек, ни корзин, нужно охотится на них между касс, причём это особенность не только этого магазина, но и всей сети вообще. Грязно, персонал грубый. Территорию магазина никогда не убирают, у входа постоянно бомжи или подростки со своими дудками, а в углу всё обгадили голуби, которых кормят неравнодушные граждане\nВ остальном обычный Перекрёсток, ничем не лучше других. Отклоняют правдивые отзывы)",284443,False,True,False,False,True,False
"Очередь огромная, товар раскидали по всему магазину, эвакуационные выходы завалены (палеты с мешками картошки) складские на рохлях едут не видят куда, на клиентов всем наплевать. Покупал с женой бутылку воды в 15 минутной очереди. Не рекомендую!",330215,False,False,True,False,False,False
"Принесла чинить телефон. Очень долго занимались. Не починили. Обратная связь ужасная, просила держать в курсе, ни разу не перезвонили. В итоге забрала разобранный телефон",134947,False,True,False,False,False,False
"Дорого,дорого и еще раз дорого. Персонал равнодушный,слова не дождешься.",191052,False,True,False,False,False,False
"Пожалуй худший магазин, в которых я бывал за свою жизнь. \nНекачественная продукция, истекшие сроки годности. Магазин работает до ""22:00"", по факту приходишь в него в 21:00 и тебе разворачивают назад, с фактом того, что мол касса закрыта.\nПомимо всего этого больше всего удивляет, как вообще на работу берут подобных продавщиц, не способных в простое человеческое ""Здравствуйте"" покупателю, и простые базовые нормы общения между продавцом и покупателем. \nНИКОМУ не советую ходить в данный магазин, тем более когда по соседству есть отличная альтернатива, с дружелюбным коллективом, нормальным ассортиментом и качественными продуктами.   ",215766,True,True,False,False,False,False
"Работают хамки, впервые таких продавцов вижу!!! \nОбслуживала Анастасия, у меня даже слов нет, как описать работу этого человека… чек не давала, говорила «и что вам ещё от меня нужно?». Попросила я позвать выше стоящих лиц, на что мне ответили «если вам надо, приезжайте на неделе!» к слову, покупка была совершена в четверг, разве это не неделя??? ",44413,False,True,False,False,False,False
"Товар долго в магазине доставки стоит в проходе и мешает покупателям, также товар хранится в подсобке и не выставляется, а при просьбе вынести хамят и говорят нет, хотя в приложение есть и приходится делать заказ через приложения. ",41361,False,True,False,False,False,False
"Очередной алко маркет. Место тупиковое и неухоженное, лень даже облагородить прилегающую территорию. Ассортимент - дешевое пойло для обывателя. Надеюсь протянет недолго.",385609,False,False,False,False,False,True
"При последнем посещении продавец разбиралась с предыдущим покупателем  во время моей покупки на счет неправильных цен. Цена в зале не соответствовала тем, что считает касса. В результате женщина требовала администратора и забыв выдать мне сдачу с чеком продавец развернулась и ушла с предыдущим покупателем в поисках этого администратора. В машине разбирая чеки и покупки сдачу в 100 рублей я не обнаружила. Причем чек был выбит на другую сумму. Я купила не помню точную сумму но  пример расчёта был примерно такой: покупка 902 рубля, и заплатила 1000 и 2. А в чеке написали что я сразу дала 902. Собственно и сдача мне не нужна. И смешно и грустно. Абсолютно не внимательный продавец. Отсутствие актуальных цен в магазине привели к неприятными осадку от посещения данного магазина.",388082,False,True,True,False,False,False
"Свой первый отзыв писала еще в 2019 году где была вполне довольна ассортиментом товаров и продуктов питания. Пишу в 2023 году свой второй отзыв магазину. Очень разочарована, что придя в магазин, покупаю товар явно с истекшим сроком хранения а точнее речь об ореховой смеси на развес, которую расфасовали в пластиковые контейнеры. Уважаемая администрация магазина, надеюсь вы примите к сведению, что данный товар нельзя продавать т.к. покупатели в частности как я не имеем понятия в каких условиях хранилась данная смесь. Я не эксперт в орехах но на вкус это отвратительно!!! После употребления остается противная горечь от которой не легко избавиться, и привкус ну скажем так помягче не фонтан. Целую упаковку пришлось выкинуть а она на минуточку идет от 150 руб. за упаковку. Искренне не рекомендую покупать смесь на развес, лучше покупать упакованную с полным наименованием продавца и сроком годности. Что касается этой смеси то по срокам годности на наклейке все хорошо но я не уверена, что дату не накрутили.",45398,True,False,False,False,False,False
Ужасный сервис и грубое отношение. \nВ продукции мало товара и качество оставляет желать лучшего...,150919,True,True,False,True,False,False
"Отвратительный директор. Ходит по магазину и орет по телефону чуть ли не благим матом. Когда спросила про определенный товар, отправила с недовольным лицом к продавцам.Хамство! Спасибо большое продавцам, ответили про срок и состав рыбы. 1 Звезда только продавцам",449297,False,True,False,False,False,False
"В магазине всегда чем то неприятным пахнет. Персонал не дружелюбный, цены завышены. Место оплаты, как это принято называть кассой вообще непонятно как сделано. Кисломолочку и мясо в этом магазине брать не рискну.",38975,True,True,False,False,True,False
Очень дорогой магазинчик. Почти всегда закрыт...,284728,False,False,False,False,False,True
"Сделала заказ на сайте, конфет по акции Заказ: 128431 на что продавец отказалась отдавать товар по этой цене и сказала звонить на горячую линию!!!! Я возмущена, что такое нарушение вообще возможно в такой торговой сети!!!! Я прошу принять меры и выдать заказ в соответствии с ценой!!!! ",71216,False,True,False,False,False,False
