,address,name_ru,rating,rubrics,text,is_grocery,id,len,product_quality,staff_service,queues_checkout,assortment_availability,store_cleanliness,other_problem
10,"Москва, улица Щепкина, 64, стр. 4",Дикси,2,Супермаркет;Магазин продуктов,"Плохой ассортимент, нахождение в непосредственной близости к больнице и колледжу подразумевает больший ассортимент готовых блюд к примеру.\n",True,2823,140,False,False,False,True,False,False
11,"Московская область, Одинцово, улица Маршала Неделина, 6",Перекрёсток,1,Супермаркет;Магазин продуктов,"11.05 2023 заехала за продуктами все бы не чего но по приезду домой собралась готовить ужин, вытащила куриное филе и тут запах  тухлого мяса, сказать что я была в шоке не чего не сказать, Санитарная норма хранения мясных  продуктов напрочь отсутствует!!! Я не удивлюсь что они из этого же мяса готовят Обеды! По вам господа плачет проверки!",True,3947,340,True,False,False,False,False,False
12,"Москва, улица Пресненский Вал, 7, стр. 1",Киви,1,Магазин продуктов;Магазин хозтоваров и бытовой химии;Магазин овощей и фруктов,"Очень много просрочки, сотрудники не знают, как считать сроки, неправильная маркировка, нарушения условий хранения. На канале Артем Вольф это место разносят ",True,4407,157,True,False,False,False,False,False
13,"Свердловская область, Верхняя Тура, улица 8 Марта, 12",Товары для дома,1,Магазин продуктов;Магазин хозтоваров и бытовой химии,"Продавцы в отделе хозтоваров абсолютно не знают законы, связанные с их непосредственной деятельностью. Отказывают в продаже товара по цене на ценнике, если цена на кассе выше. Плюс, а точнее жирный минус в том, что ценники на товар очень мелкие и разглядеть что-то можно только вблизи, а цены и наименование товара, находящийся на дальних стеллажах или высоко вообще не видно. Также продавцы не выдают кассовые чеки, только чеки терминала, что является нарушением закона. Цены в общем и целом на товар очень сильно выросли по сравнению с другими магазинами. Качественно работать продавцы не умеют, про товар рассказать ничего не могут. Спрашивал про гарантию на смеситель, сказали ""не знаем"". Не советую данный магазин.",True,4498,719,False,True,False,False,False,True
14,"Воронеж, улица Фридриха Энгельса, 18",Магнит,2,Магазин продуктов;Магазин хозтоваров и бытовой химии;Супермаркет,"Плохой ассортимент, но продавцы вежливые. Находится в центре города, неплохо было бы работать круглосуточно.",True,5977,108,False,False,False,True,False,False
15,"Краснодарский край, станица Павловская, Советская улица, 48",Магнит,2,Магазин продуктов;Магазин хозтоваров и бытовой химии;Супермаркет,"Администраторы не садится на кассу, наверное картона мешает и директором не барское это дела, надоело такое отношение, очередь едим и детектор спорных им ***!!!!! Какая касса я директор!!!!!",True,5994,190,False,True,True,False,False,False
16,"Московская область, Балашиха, улица Карла Маркса, 3",Дикси,2,Супермаркет;Магазин продуктов,"Дикси как Дикси, хотя этот еще по сравнению с другими не плохой, просрочка не попадалась, часто бывают скидки и акции на любимые товары. Тут вопросы больше к высшему руководству магазинов - создать для сотрудников условия труда и отдыха, тогда и порядок будет.",True,6038,260,False,False,False,False,False,False
17,"Челябинская область, Миасс, улица Богдана Хмельницкого, 62, корп. 2",Красное&Белое,2,Магазин алкогольных напитков;Магазин продуктов,"Всегда много народу, и очень тесно. К персоналу претензий нет.",True,6047,62,False,False,False,False,False,True
18,"Москва, 2-я Песчаная улица, 3",Дикси,1,Супермаркет;Магазин продуктов,"Заходила в первый раз просто так, но захотела сделать покупку. Взяла то что надо, а на кассе мне не пробили укроп. Штрих код не сканировался, я попросила в вести в ручную. Продавец отказала мне мол она не умеет и не получится. В итоге все могут а в Дикси не работает это. Остался осадок. Было это около 22:00. В магазине рядом могут всё, чтобы был доволен покупатель. Магазин рядом Азбука Вкуса. Небо и земля. Между магазинами. Правда так от этого не денешься. 🙃Лепёшки армянские, все были с плесенью. Только на кассе заметил кассир. А лежат в зале на полках. Доступно покупателю. Я не буду изменять отзыв. Писала отзыв о том что есть, правда. Знайте какой персонал набирать. Цензуры нет. Всё написано прилично 😊😊😊",True,6792,714,True,True,True,False,False,False
19,"Москва, проспект Будённого, 18Б",Супер Лента,2,Супермаркет;Магазин продуктов,"магазин очень грязный, ассортимент маленький\n\nда и сама планировка помещения вообще не подходит для продуктового сетевого магазина\n\nнеприятное место",True,6981,152,False,False,False,True,True,True
20,"Московская область, Одинцово, бульвар Любы Новосёловой, 16А",Арис,1,Магазин продуктов,"Ужасный магазин. Продавцы хомят, директор считает что нарушение всех норм и законов это нормально. Продавцы швыряют товары, могут просто отказаться обслуживать когда начинаешь выяснять почему не один ценник не совпадает на кассе. Директор такой же хамит и считает нормой такое поведение своих сотрудников. ОЧЕНЬ много просроченных товаров в магазине! На жалобы в жалобной книге не отвечают вообще просто вызывают. Книга не прошита не пронумерована не скрепленные печатью.... директор вырывает жалобы и считает это нормой. Очень бы хотелось что роспотребнадзор наконец то проверил данный магазин и проверил серьёзно а не так как он проходит все проверки. Потому что нарушений куча и такой магазин не должен работать вообще. Не понятно за какие заслуги им выдали лицензию.",True,7113,770,True,True,False,False,False,True
21,"Москва, проспект Мира, 97",Азбука вкуса,1,Супермаркет;Кафе;Магазин продуктов;Магазин алкогольных напитков,"Хожу в этот магазин давно. Хочу предупредить, что в рыбном отделе, там где деликатесы девочки обвешивают. ""Забывают"" вычесть вес тары. Раза 4 я видел это, но не при давал значения, но когда обвес составил четверть веса товара, то вскипел. Правда администрации до этого дела нет, видимо есть причины) На написанное обращение в книге жалоб никто не отреагировал.)) ",True,7201,363,False,True,False,False,False,True
22,"Москва, проспект Мира, 97",Азбука вкуса,1,Супермаркет;Кафе;Магазин продуктов;Магазин алкогольных напитков,"Совесть имейте! за такие деньги просто отвратительная выпечка, рулет с вишней уже есть невозможно, эклеры вся таблица стабилизаторов.  Про кулинарию молчу - это уже пару лет покупать  нельзя.",True,7205,191,True,False,False,False,False,False
23,"Москва, проспект Мира, 97",Азбука вкуса,1,Супермаркет;Кафе;Магазин продуктов;Магазин алкогольных напитков,"Кто нибудь из руководства азбуки обратит внимание на жалобы жильцов на запах от фабрики на Ул Милашенкова? Сколько можно издеваться над жителями района , вы больше не в промзоне! Сегодня просто невозможная вонь. Испортили прекрасный зимний день.",True,7206,245,False,False,False,False,False,True
24,"Москва, Щербаковская улица, 35",ВкусВилл,1,Магазин продуктов;Супермаркет,"Прочитала все негативные отзывы. и все они о мужчине, который работает на кассе. Сегодня я с ним тоже ""пообщалась"". Обычно я сама оплачиваю, но сегодня забыла очки и пришлось оплачивать через кассу. Передо мной оплачивал пожилой мужчина, на которого этот кассир смотрел с такимм раздражением и отвращением. Видимо он презирает всех, кто сам не может оплатить. Я попросила разложить продукты в  2 пакета, притом 2 раза. Он стал все складывать в один. С раздражением стал спрашивать зачем мне еще пакет, как будто я у него беру пакет бесплатно. Стал со злостью выбрасывать продукты из пакета. Все это сопровождалось грубостью и зверскими гримасами. Если он так ненавидит покупателей, может ему не надо работать в торговле? Не , помню  его имени, по моему на букву ""Ж"", Жалтын кажется. Притом женщина, которая сидела с ним рядом за кассой, говорила ему: ""Помолчи"", но он не унимался вышел из за кассы и продолжал вквозь зубы говорить ругательства.Вообщем настроение мне перед праздником он испортил однозначно.",True,7575,1007,False,True,False,False,False,False
25,"Краснодар, улица Красных Партизан, 77",Агрокомплекс,1,Магазин продуктов;Супермаркет;Молочный магазин,"Персонал отвратительный. Живу рядом. Но приходится ходить в другой магазин агрокомплекса. Так как некоторые продукты есть только в этих магазинах. В этом магазине необходимо заменить персонал. Хамки. Работают, как будто я им должна что-то. Я пришла потратить свои деньги и приобрести товар. Сейчас 21 век. И я не собираюсь терпеть наглость этих продавщиц. Ни ногой туда больше!!!",True,7824,379,False,True,False,False,False,False
26,"Московская область, Электросталь, улица Победы, 6",Бристоль,2,Магазин алкогольных напитков;Магазин продуктов;Магазин табака и курительных принадлежностей,"Нравилось данное заведение раньше, поэтому 2 звезды поставила. Поменялся персонал и просто магазин не узнать - гадюшник. Грязь,вонь, продавцы даже пятую точку не подняли,чтобы пробить товар. Сам подойди и чуть ли не подставь под сканер. скажи,что нужен пакет,тебе его  небрежно кинут и давай сам упаковывай. Никогда такого здесь не было, всегда был приветливый персонал, сейчас вообще никакого желания посещать сие заведение нет, очень жаль.",True,7996,441,False,True,False,False,True,False
27,"Санкт-Петербург, улица Матроса Железняка, 57",Магнит,2,Магазин продуктов;Магазин хозтоваров и бытовой химии;Супермаркет,"Помещение вроде большое, входы удобные, а купить нечего. Такое ощущение, что ассортимент формировали без надежды, что тут будут покупать. Фрукты, овощи нормального качества - не надейтесь. Только самые простые продукты в банках и блистерах. Странно, ведь и другие два магазина в доме - это эконом сегмент, а дом большой и не самый дешевый. Магнит умеет делать приличные магазины, здесь почему-то не стали.",True,7998,405,True,False,False,True,False,False
28,"Воронежская область, Бобров, улица Гагарина, 339",Магнит,1,Магазин продуктов;Магазин хозтоваров и бытовой химии;Супермаркет,"Сегодня мою знакомую обманули на 900 р, в Магните на Гагарина, и кстати там каждый раз обманывают, просто кто-то возвращается если близко живёт , а если с села  то наврятли вернутся",True,8116,181,False,False,False,False,False,True
29,"Москва, улица Борисовские Пруды, 18, корп. 3",Магнит,1,Магазин продуктов;Магазин хозтоваров и бытовой химии;Супермаркет,"Очень грязный магазин , и сотрудники очень грубие про директора нет слов  неодекватная и противная. Сегодня вечером покупатели зашли с огромными собаками в магазин , я делала замечание что там продукты питание без фасовки лижат, на что меня отвечает продавец? Что им это устраивает.. им конечно устраивает цто холодильники тухлятиной ваняет и ценники не соответствует.. ещё устраивает что покупателей грубят.. одним словом отвратительный магазин. Обратите внимание на директора не одекватная и грубая.. надеюсь будут проверки ",True,8204,526,True,True,False,False,True,False
30,"Омск, проспект Карла Маркса, 37",Красное&Белое,1,Магазин алкогольных напитков;Магазин продуктов,"Так как я живу много лет в этом доме, естественно хожу в кб часто. Те кто там работает давно знают меня. Да и мне нравилось ходить сюда, до сегодняшнего дня. Подхожу на кассу расплачиваться, сотрудник записывать голосовые и с таким на меня лицом смотрит, как будто я говном его облила. Это причём частенько от этого сотрудника было. Но всему есть границы. Вы этому обучаете своих сотрудников - хамству? Очень разочарована, навряд ли буду туда ходить. ",True,8611,451,False,True,False,False,False,False
31,"Новосибирская область, Бердск, улица Островского",Магазин продуктов,2,Магазин продуктов,"Раньше был ничего, ну сейчас вообще не ходим в него, только если ночью и то за сигаретами.",True,8632,90,False,False,False,False,False,False
32,"Московская область, городской округ Истра, деревня Покровское, Майская улица",Сельский продуктовый магазин,2,Магазин продуктов,"В названии кроется суть места - магазин сельский. Ему очень тяжело с приходом пятерочек, магнитиком и перекресточков. Выживает на энтузиазме. Владельцам стоит подумать о регулярной удорке и поддержании чистоты",True,8947,209,False,False,False,False,True,False
33,"Москва, Большая Филёвская улица, 21, корп. 1",Магнит,2,Магазин продуктов;Магазин хозтоваров и бытовой химии;Супермаркет,"Найти что-то по вкусу очень сложно, часто голые овощи и фрукты, много просрочки.",True,9017,80,True,False,False,False,False,False
34,"Московская область, Ленинский городской округ, посёлок Развилка, 1/2",Чижик,2,Супермаркет;Магазин продуктов,"до недавнего времени (недели 3 назад) регулчрно пользовалась этой торговой точкой. А в настоящее время там брать стало нечего. Все товары из Чижика перетекли в частный магазин ч/з стенку с общей дверью выходящей в склад. Полки фруктово-овощные постоянно пустые. Весь товар сразу забирает частная торговая точка прямо со склада. Цены естественно 20-30% выше. Ходить в Чижик ради молока Светаево  и мелочевки стало не привлекательным Все это можно купить по акциям в др. сетевых точках. От лица пенсионеров, как постоянных покупателей желаем процветания с таким подходом в торговле. ",True,9219,581,False,False,False,True,False,False
35,"Белгородский район, городское поселение Северный, рабочий посёлок Северный, Магистральная улица, 8",Магнит,2,Магазин продуктов;Магазин хозтоваров и бытовой химии;Супермаркет,"Постоянные очереди!!!!, объясняют не хватает продавцов, зарплата маленькая, как заходиш в магазин очереди, сразу разворот и назад, не очень приятно, 4 кассы и только 1 или 2 работают, трата времени клиента",True,9280,205,False,False,True,False,False,False
36,"Санкт-Петербург, проспект Наставников, 36, корп. 1",Ароматный мир,2,Магазин алкогольных напитков;Магазин продуктов,"Очень недовольный персонал, что к ним заходят по покупатели. Особенно старший продавец женщина блондинка лет 45-50, небольшого роста. Совершил сегодня покупку питьевой воды 1,5 литра под маркой АМ, выкладка прямо у кассы, замечание почему разорвал упаковку, хотя в упаковке было четыре бутылки из шести. То есть, начатая упаковка. На любых покупателей смотрит с презрением, как хронических алкашей, хотя большинство алкоголь вообще не покупает. Слова приветствия вообще персонал не знает. Кто набирает в сеть таких сотрудников советской торговли?",True,9329,546,False,True,False,False,False,False
37,"Санкт-Петербург, Пушкинский район, посёлок Шушары, Вилеровский переулок, 8",Магнит,2,Магазин продуктов;Магазин хозтоваров и бытовой химии;Супермаркет,"Хороший выбор продуктов и чисто, из плюсов это все. Проверяйте чек сразу у кассы, уже неоднократно цены на ценнике и в чеке отличаются. Также есть испорченные продукты, покупали крабовые палочки 6(!) пачек, по датам все было в порядке, но дома открыли и каждая(!) пачка была испорчена, не одна, не две, а все!!",True,9367,310,True,False,False,False,True,False
38,"Пенза, улица Аустрина, 139",Караван,1,Супермаркет;Магазин продуктов,"Цены на продукты самые высокие в городе Пензе, персонал грубый, особенно в мясном отделе и кассиры. Разнообразный ассортимент овощей и фруктов. Выпечка совершенно не вкусная.",True,9827,174,True,True,False,False,False,False
39,"Нижний Новгород, улица Академика Баха, 3Б",Авокадо,2,Магазин продуктов,"Скудный ассортимент. Вечно толкутся местные выпивохи, Что-то покупают с утра пораньше. \n  Обычный маленький магазинчик. Каких много. Хотелось бы , чтобы расширили ассортимент продукции.пироги брала, несколько раз были протухшие. Пироги здесь брать не рекомендуется.",True,9878,266,True,False,False,True,False,False
40,"Иркутск, Советская улица, 142",Янта,1,Магазин продуктов,"Отвратительный магазин. Свежего там ничего не купишь. Батоны даже не вчерашние, а позавчерашние. Еще и вечно грязный, сроду не видела там уборщицу. Сумку поставить и то несколько ячеек надо открыть, чтобы почище выбрать. Лучше бы вместо охранника, уборщицу наняли.",True,10455,264,True,False,False,False,True,False
41,"Самара, проспект Масленникова, 10",Красное&Белое,2,Магазин алкогольных напитков;Магазин продуктов,"Тесный, вечно с столпотоворением с ним неудобно взаимодействовать.\nБессовестная система карты лояльности которую по условиям нельзя вбить в приложение типа stocard. \nПри расчете, постоянно кассиры общающийся между собой за громкой музыкой не понять что-то спрашивают или нет. Не знаю с чем связана такая концептуальная *** В целом, че винить кассиров если система плоха и не уважает клиента. подобная картина и в других магазинах сети. \nВ целом спасибо что меньше стал пить алкоголь",True,10517,485,False,True,False,False,False,True
42,"Нижний Новгород, Алексеевская улица, 24/27",SPAR Express,1,Супермаркет;Магазин продуктов,Постоянно попадаются испорченные продукты.особенно в готовой кухне.,True,10553,67,True,False,False,False,False,False
43,"Челябинск, Артиллерийская улица, 65Б",Продукты,1,Магазин продуктов,"Бомжатник, круглосуточно на входе обделаные ""синьëры"". Видимо продают что-то "" Вкусненькое "". Мрак.",True,11331,99,False,False,False,False,False,True
44,"Санкт-Петербург, Пушкинский район, посёлок Шушары, Новгородский проспект, 3, стр. 5",Магнит,1,Магазин продуктов;Магазин хозтоваров и бытовой химии;Супермаркет,"Это классика. Вроде новый открыли, ну должен быть порядок, ценников нет, касса одна, очередь 5-6 человек. Открыть кассу могут, но когда уже остается два человека 👍 Вроде акции есть, но кассиры либо не знают , либо не хотят говорить👌",True,11457,232,False,True,True,False,False,False
45,"Новосибирская область, Тогучин, Школьная улица, 2Б",Магнит,2,Магазин продуктов;Магазин хозтоваров и бытовой химии;Супермаркет,"Не нравится мне этот магазин, чтобы найти цену на товар нужно поискать, на кассе электронное табло мало того, что отвернуто от покупателя, так ещё и заложено товаром. Часто стоят тележки с товаром. А ещё так стеклянные банки на верхних полках так расставлены, что взяв одну на тебя посыпятся остальные. Жаль, что невозможно фото приложить.",True,11847,339,False,False,False,False,False,True
46,"Самара, Молодогвардейская улица, 94",Магнит,1,Магазин продуктов;Магазин хозтоваров и бытовой химии;Супермаркет,"Иногда ценник отличается от цены на кассе, невежливый персонал, персонал грубый и неприветливый. сотрудники не знают ассортимент и не знают за какой товар какая акция. знакомые сотрудников распивают алкоголь в присутствии посетителей около касс",True,12279,244,False,True,False,False,False,True
47,"Ростов-на-Дону, улица Оганова, 20, стр. 3",Красное&Белое,2,Магазин алкогольных напитков;Магазин продуктов,Вечно толпы военных. На полках нет товаров точнее они их не успевают раскидывать. А так как ларек зайти взять воду или ещё чё то простое и мелкое. Но ждать от этого КБ чудо не стоит. Хотя у них поже у всех так.,True,12314,210,False,False,False,True,False,False
48,"Санкт-Петербург, Народная улица, 32",Удачный,1,"Магазин продуктов;Магазин овощей и фруктов;Магазин мяса, колбас","Женщина которая работает в колбасном отделе всегда какая-то недовольная. Покупая сегодня колбасу, попросила убрать первый кусочек, потому что заветренное было, да и вообще половина колбас лежит заветренная, на что был ответ, что ничего убирать не будет, вот какой замечательный продавец, желаю удачи в продаже и прибыли  ",True,12561,321,True,True,False,False,False,False
49,"Калужская область, Боровск, улица Некрасова, 24А",Верный,1,Магазин продуктов,Цены очень дорогие. И нету выбрать. \nРаньше поставки товаров была чаще. А сейчас приходиться ждать сигареты свои по несколько дней.,True,12634,132,False,False,False,True,False,False
50,"Московская область, Ленинский городской округ, Видное, Радужная улица, 2",ВкусВилл,1,Магазин продуктов;Супермаркет,"Это худший магазин сети вкуссвил из тех, которые я посещал. Часто несвежие или заветренные овощи и продукты, персонал все время занимается оформлением онлайн заказов, и обслуживание на кассе - одолжение клиенту. Есть гипотеза, что существуют проблемы с хранением мясной продукции т к часто продукт пропадает до истечения срока годности, что не замечал при покупке в остальных магазинах сети",True,12642,390,True,True,False,False,False,False
51,"Московская область, Балашиха, микрорайон Янтарный, Кольцевая улица, 3К2",Перекрёсток,1,Супермаркет;Магазин продуктов,"Будьте осторожнее с покупками в отделе выпечки!!!В выпечку добавляют некачественный продукт!Купила ребёнку булку с сыром,итог:отравление,весь день рвота и диарея.",True,12644,162,True,False,False,False,False,False
52,"Республика Крым, Ялта, Московская улица, 6",Яблоко,2,Супермаркет;Магазин продуктов,"Выпечки к вечеру нет, персонал загнан как ломовая лошадь, кулинария скудная, посмотрела отдел где выпекают пиццу... всё вкривь и вкось, не рекомендую, лучший магазин Яблоко в ТЦ Конфетти",True,12674,186,False,True,False,True,False,False
53,"Самара, посёлок Соцгород, Фасадная улица, 15",Алтын,1,Магазин продуктов,"Магазин Алтын с большим выбором ассортимента товара, всё качественное, расположение доступно",True,12987,92,True,False,False,True,False,False
