address,name_ru,rating,rubrics,text,is_grocery,id
"Ростовская область, Азов, улица Ленина, 72А",Пятёрочка,1,Супермаркет,"Отвратительная Пятёрка, постоянно дурят с ценами по скидке, при этом лица у продавцов не пробиваемые, принципиально игнорирую этот магазин и  всём советую",False,8033
"Ивановская область, Кохма, Ивановская улица, 48",Пятёрочка,5,Супермаркет,"Магазин всегда рядом, всегда свежие и вкусные продукты. В магазине всегда порядок и чистота. Хочется приходить сюда почаще. Сотрудники знают свое дело, могут помочь с выбором любого товара, всегда отзывчивы и доброжелательны.",False,8276
"Удмуртская Республика, Ижевск, Нижняя улица, 40",Пятёрочка,5,Супермаркет,"Я достаточно давно пользуюсь этим магазином. Персонал ни очень, если возникает какой нибудь вопрос его днём с огнём не найдешь во всём зале восновном один кассир. Товар хороший, часто обновляется и качество не плохое. Зал магазина чистый и светлый. По поводу кассы всё равно. Расположен магазин в шаговой доступности.",False,8425
"Краснодарский край, Сочи, микрорайон Новый Сочи, улица Пирогова, 28/2",Пятёрочка,4,Супермаркет,"Были на отдыхе, заходили в эту Пятерочку. Есть небольшая просьба: поскольку здесь много приезжих, то многие вещи приходится покупать на месте. Мы покупали шампанское и было бы хорошо, если бы продавали простые фужеры хотя бы. Знаю, что бывают вполне приличные пластиковые фужеры, которых мы тоже не нашли. Вот рюмки пластиковые были и стаканчики.",False,8702
"Томск, Красноармейская улица, 114",Пятёрочка,5,Супермаркет,"Отличный магазин. Персонал всегда поможет если помощь нужна. Хорошее  обслуживание. Не вступают в конфликт с покупателями. \n\nПродукция свежая и сам магазин чист если брать с некоторыми.\nПо всем скидкам и акциям если есть вопросы то помогут и подскажут.\n\nМного раз видили, как продавцы дарили детям игрушки которые доставали из игрового автомата.Мелочь но зато детям приятно. \n\nИ если оставленны какие то вещи то всегда вернут. Несколько раз забывали то карту то товар какой-нибудь. Желаем процветания и успеха. 🙂",False,8917
"Рязанская область, Кораблино, Садовая улица, 20",Пятёрочка,5,Супермаркет,"Самый лучший и любимый мой магазин в этом городе. Вежливый персонал, добросовестный, отзывчивый, вообщем молодцы в своём нелёгком деле. Большая им благодарность от покупателя.",False,8998
"Челябинск, улица Чичерина, 40В",Пятёрочка,5,Супермаркет,В пятерочке чисто. Большой выбор. Народу всегда много. Так обычная пятерочка,False,9011
"Новосибирск, улица Добролюбова, 16",Пятёрочка,5,Супермаркет,"Хороший широкий асартимент,  отзывчивые сотрудники всегда подскажут и помогут, в магазине чисто уютно, приятно находиться в такой атмосфере, также сотрудники помагают узнать о новых акциях и разобраться в них, фрукты также свежие, и всегда есть выбор, магазин отличный",False,9142
"Краснодарский край, Туапсе, улица Калараша, 7В",Пятёрочка,5,Супермаркет,"Достаточно богат на хороший ассортимент товара, обслуживающий персонал не заметен... за то товары стоят на полках в достаточном количестве 👈💯",False,9186
"Мурманская область, Мончегорск, проспект Металлургов, 52",Пятёрочка,3,Супермаркет,"Ну, знаете ли, видимо, сильный напряг с сотрудниками, их явно не хватает,  ну и ассортимент бы получше, овощи фрукты  совсем на минимуме.",False,9233
"Мурманская область, Мончегорск, проспект Металлургов, 52",Пятёрочка,3,Супермаркет,"Персонал конечно вечно на своей волне,цены приходится перепроверять перед покупкой т.к. очень часто стоят не верные,по наполняемости магазин пустоват.При мне не однократно мужчина-сотрудник в грубой форме останавливал женщин и просил открыть пакет.",False,9234
"Рязань, площадь Новаторов, 3",Пятёрочка,5,Супермаркет,"Очень хороший магазин, работает круглосуточно. Ещё бы некоторые продавцы были чуток по вежливее.",False,9264
"Рязань, площадь Новаторов, 3",Пятёрочка,1,Супермаркет,Забывают сменить ценники. В вытекающими проблемами. \n,False,9265
"Москва, 6-я Радиальная улица, 62",Пятёрочка,5,Супермаркет,"Магазин большой, ассортимент обычный, как во всех Пятерочках. И персонал и посетители, в основном, рабочие. Иногда бывают продукты на последнем дне срока годности, иногда и просроченные. Внимательно надо смотреть  этикетки!\nВ остальном все нормально.",False,10237
"Тульская область, Ясногорск, улица Зои Космодемьянской, 5",Пятёрочка,5,Супермаркет,"Магазин чистый, персонал вежливый и дружелюбный. Всегда помогут с выбором товара. А товар всегда свежий. Ценники всегда на месте и они актуальные. Всегда хожу в этот магазин. Спасибо!",False,10791
"Белгородская область, Старый Оскол, микрорайон Молодогвардеец, 2, стр. 1",Пятёрочка,5,Супермаркет,"Классная пятёрочка. Очень удобное месторасположение, недалеко от остановки ""Дом книги"". Персонал всегда поможет, особенно на кассах самообслуживания. Выбор товаров неплохой, всё что нужно для жизни есть.",False,10991
"Белгородская область, Старый Оскол, микрорайон Молодогвардеец, 2, стр. 1",Пятёрочка,5,Супермаркет,"Всегда товар свеж и аккуратен! Обслуживание всегда на высоте !! На протяжении длительного времени существования, магазин всегда организован и  не останавливается в совершенствовании !",False,10992
"Челябинская область, Магнитогорск, улица Галиуллина, 9А",Пятёрочка,5,Супермаркет,"Вполне себе магазин у дома. Хороший набор овощей,  фруктов, круп, соков, молочной продукции. Есть отдел бытовой химии и детские товары : от подгузников до пюрешек.",False,11157
"Иваново, Кавалерийская улица, 41",Пятёрочка,4,Супермаркет,Нехватка продавцов товар нележит на прилавках стоит очень долго в тележках  все можно найти  много разных скидок  чисто касса работает одна парковка маленькая,False,11176
"Нижний Новгород, проспект Гагарина, 176Г",Пятёрочка,5,Супермаркет,"Чисто,удобно,много места,акции, главное приветливый и отзывчивый персонал.",False,11316
"Санкт-Петербург, улица Тамбасова, 32",Пятёрочка,4,Супермаркет,"Железнодорожная станция, что тут скажешь. Но с недавнего времени здесь появился туалет, есть аппарат с кофе. Внутри станции достаточно просторно",False,11381
"Московская область, Богородский городской округ, Старая Купавна, Большая Московская улица, 108А",Пятёрочка,5,Супермаркет,"Отличный магазин.Приемлимый ассортимент,вменяемые сотрудники - всегда есть кому задать вопрос,хороший выбор товаров по акциям.Вкусный хлебушек и всякие кексы-маффины,булки и печенки.Овощи и фрукты всегда свежие на выкладке.Расположение удобное для меня и недалеко остановка общественного транспорта.Парковка есть и всегда свободна.",False,11415
"Мурманская область, Апатиты, улица Козлова, 9А",Пятёрочка,5,Супермаркет,Отличный магазин,False,11534
"Липецк, улица Космонавтов, 27",Пятёрочка,5,Супермаркет,"Всё просто супер в данном магазине. Высокий профессионализм коллектива, а особенно доброта и вежливость. Всегда помогут решить любой вопрос. Чистота и порядок на высочайшем уровне. Всегда свежие и качественные продукты. Широкий ассортимент товаров высокого качества,чистота,удобное расположение,отсутствие очередей и культурное обслуживание, большой выбор свежих фруктов и овощей. Спасибо всему персоналу магазина, всегда буду ходить только к вам. ",False,11676
"Калуга, улица Братьев Луканиных, 19",Пятёрочка,5,Супермаркет,"Персонал вежливый, чистоту поддерживают. Ассортимент для магазина шаговой доступности меня устраивает. Покупаем там определённый набор продуктов, качество которых на должном уровне. Очередей на кассе стараются не собирать. Кассиры делают всё, что от них зависит, чтобы отпустить покупателей без задержек.",False,11680
"Калуга, улица Братьев Луканиных, 19",Пятёрочка,5,Супермаркет,"Вежливый персонал, чистый уютный магазин, хороший выбор, скидки, удобное расположение, качественные продукты, нет очередей, большой выбор продуктов. Кассиры всегда помогут найти нужный товар 👍",False,11681
"Санкт-Петербург, проспект Космонавтов, 63, корп. 1",Пятёрочка,5,Супермаркет,"Персонал отличный, добрые и отзывчивые люди. Чистота всегда поддерживается , везде чисто. Выбор товаров огромный есть всё, что нужно для жизни. Качество товаров отличное нет ни просроченных, ни плохих и не качественных товаров. Расположение удобное всегда можно увидеть,, Пятёрочку"" из далека  и это огромный плюс для тех кто не местный в нашем городк",False,11703
"Калужская область, Жуковский район, Белоусово, Московская улица, 111",Пятёрочка,5,Супермаркет,"Хороший магазин. Персонал работает нормально, если есть вопросы, подскажут. Ассортимент устраивает. Удобная навигация по магазину..Меня все устраивает. Кто за рулём, удобная парковка. Рекомендую",False,11858
"Воронеж, улица Хользунова, 38/11",Пятёрочка,4,Супермаркет,"Сеть магазинов ,,Пятёрочка,, для нашего города и в большинстве пригородных больших сёл это очень удачный маркетинговый ход.И как поётся в рекламе действительно,, пятёрочка выручает,,График работы с 8:00 это здорово.Ассортимент всегда разнообразный. Цены демократичны, привлекает система скидок. Расположение всегда удачно с хорошим подездным путем.Одно только мне не очень нравится,для чего то и дело местами меняют полки с товаром,порой аж бесит, ищешь в одной стороне,а он в другой.Для оборота это да,по пути прихватывают и то что и не собирался брать.Ну да ладно на то она и коммерция.А продуктовые магазины и немного с сопутствующим товаром были \nи будут всегда востребованы.",False,11869
"Челябинская область, Озерск, улица Залесского, 2А",Пятёрочка,4,Супермаркет,"Крышу бы сделать потому что бежит, а так всё нормально",False,11893
"Чувашская Республика, Чебоксары, улица Хузангая, 12",Пятёрочка,4,Супермаркет,"Большая пятёрка. Куча всякой всячины, впрочем ассортимент как и везде, зато места побольше, можно спокойно ходить в проходах между стеллажами, а не толпится, как во многих других.",False,11960
"Москва, Новочеркасский бульвар, 41, корп. 1",Пятёрочка,4,Супермаркет,"Магазин сильно изменился после реновации. Ни разу не нарвался на просрочку. Персонал вежливый. Насколько возможно таким количеством работников, следят за порядком . Достаточно приветливые и вежливые. Единственное, у них просто не хватает рук и времени, чтобы ценники соответствовали. Замечу, это в редких случаях. Плюс аппараты проверки уены всегда в рабочем состоянии. Огромный плюс-пункт приема батареек и аккумуляторов.",False,12009
"Москва, Новочеркасский бульвар, 41, корп. 1",Пятёрочка,5,Супермаркет,"Персонал вежливый( за исключением по-моему админа, девушка примерно 40 лет с короткими темными волосами, вечно на довольная, чмокает, фыркает и швыряет продукты) в остальном всё окей, продукты свежие, расположение идеальное.",False,12010
"Московская область, Дмитровский городской округ, село Озерецкое, бульвар Радости, 2А",Пятёрочка,5,Супермаркет,"Наш магазин возле дома , всегда все есть и свежее , очень удобно что близко находится !) \nПриятное обслуживание!) вкусная свежая выпечка !)",False,12043
"Московская область, Дмитровский городской округ, село Озерецкое, бульвар Радости, 2А",Пятёрочка,5,Супермаркет,"Удивительно отлично сделан магазин. В Химках Азбука Вкуса хуже сделана. Все чисто, круто, дорогой ремонт и оборудование. Хороший выбор и вежливый персонал. Моё субъективное впечатление, это самая крутая Пятёрка в моей жизни из всех где я был. Приятно, очень удивителен ",False,12044
"Московская область, Дмитровский городской округ, село Озерецкое, бульвар Радости, 2А",Пятёрочка,5,Супермаркет,"Чистый магазин. Большой ассортимент. Хорошие цены. Есть выпечка и кассы самообслуживания, что в подмосковье является редкостью. Люблю мафины, я их фанат))",False,12045
"Ростовская область, Таганрог, Цветная улица, 41",Пятёрочка,5,Супермаркет,Удобное расположение магазина. Свежие продукты и хороший ассортимент.,False,12160
"Республика Татарстан, Казань, улица Зур Урам, 1К",Пятёрочка,3,Супермаркет,"В целом доступный ритейл магазинов у дома, если следить за акционными товарами очень даже бюджетно выходит, магазин делит ассортимент с сетью магазинов магнит, чего нет в одном магазине будет в другом значит.\nВыбора мясной замороженной продукции практически нет, кондитерка,бакалея,алкоголь, напитки, молочка , не большая хозгруппа и бытовая химия , источники питания на прикассовой зоне, хлебобулочный отдел, колбасы сыры",False,12200
"Омск, улица Маяковского, 44",Пятёрочка,1,Супермаркет,"У продавцов что не спроси ничего не знаают, расположение не понятное, как будто какой то склад, не понятно где что лежит. Оставляет желать лучшего..... Надеюсь мой коментарий пойдёт на пользу и наведут порядок!",False,12203
"Санкт-Петербург, территория Усть-Славянка, Славянская улица, 29",Пятёрочка,5,Супермаркет,Кстати очень хороший магазин Пятёрочка что очень редко встретишь в плане того что он и расположение хорошее и по количеству товара выбора товара И вообще как внутри расположено всё то есть Мне реально было легко найти тот или иной товар который мне был нужен и заняло это не более 5 минут всем советую,False,12227
"Санкт-Петербург, территория Усть-Славянка, Славянская улица, 29",Пятёрочка,5,Супермаркет,"Довольно большой выбор, так же удобно что тут же расположена аптека и цветочный магазин",False,12228
"Москва, Кантемировская улица, 49к3/14",Пятёрочка,1,Супермаркет,Когда разгружается машина Пятерочка с торца здания невозможно проехать. ЗАДОЛБАЛИ  ,False,12291
"Красноярск, улица 78-й Добровольческой Бригады, 26",Пятёрочка,5,Супермаркет,"Хорошие акции, всегда свежие продукты. \nРекомендую.",False,12306
"Ленинградская область, Всеволожский район, Куйвозовское сельское поселение, деревня Куйвози, улица Александрова, 1",Пятёрочка,5,Супермаркет,"Приветливый персонал, хороший выбор товаров, есть автомат с кофе и выпечка👍",False,12453
"Томск, улица 79-й Гвардейской Дивизии, 12",Пятёрочка,5,Супермаркет,"Хороший магазин  ,много полезного и необходимого товара можно приобрести по разумным ценам.",False,12528
"Московская область, Электросталь, улица Карла Маркса, 45/2",Пятёрочка,5,Супермаркет,Хороший приятный магазин ценники соответствует на кассе свежие фрукты и овощи кассиры вежливые всегда помогут работают две кассы очередей не бывает 👍👍👍👍,False,12560
"Москва, Донецкая улица, 35",Пятёрочка,5,Супермаркет,"Среди ближайших магазинов эта Пятёрочка самая лучшая. Нет пустых полок, всегда свежий товар. Широкие коридоры,удобно ходить и выбирать продукты. Отзывчивый персонал,вежливые кассиры. Кассир Инна произвела хорошее впечатление. Ответственно относится к своей работе, быстро обслуживает на кассе. Спасибо коллективу Пятёрочки за такой сервис!",False,12767
"Московская область, Воскресенск, микрорайон Колыберево, улица Дзержинского, 17",Пятёрочка,5,Супермаркет,"Отличная пятерочка, всегда есть акции на продукцию! Хороший отзывчивый персонал!Чисто ,товар разложен аккуратно.",False,12896
"Челябинск, улица Ловина, 1",Пятёрочка,5,Супермаркет,Чисто светло кассиры хорошо работают можно ходить за продуктами много чего есть по акции!!! Супер пупер. Подробнее некуда писать хоть тресни,False,12901
"Челябинск, улица Ловина, 1",Пятёрочка,5,Супермаркет,Каждый день хожу за свежими продуктами но цены можно сделать и подешевле или мониторить в других маркетах. Чтобы были на равных,False,12902
"Москва, Дмитровское шоссе, 107А, корп. 1",Пятёрочка,5,Супермаркет,"Чистый светлый магазин, аккуратные полки, свободные проходы. В целом отличный магазин. Жаль нет химии. Персонал приветливый, все покажут, проводят, если что-то не можешь найти. ",False,12999
"Москва, Дмитровское шоссе, 107А, корп. 1",Пятёрочка,5,Супермаркет,"Очень красивый, чистый, комфортный магазин. Аккуратность везде,Очень нравится персонал(замечательные кассиры-приятные,оперативные).\nХочу еще раз поблагодарить коллектив магазина за внимание, четкую работу. Хочется пожелать всем сотрудникам здоровья,и отдельная благодарность директору магазина и администраторам.",False,13000
"Воронеж, Ростовская улица, 88/1",Пятёрочка,5,Супермаркет,"Отличный магазин.\nЕсть кассы самообслуживания, что очень удобно \nПродукты всегда свежие, ни разу не видела просреченный товар \nБольшой выбор продуктов.\nВыпечка есть свежая и вкусная.\n\nЕсли вдруг цена на кассе не соответствует ценнику , то без проблем пробьют товар по ценнику. И я не понимаю людей которые из этого трагедию делают и начинают скандалить.\nПродавцы тоже люди и могут ошибиться, не успеть поменять.\nПерсонал вежливый.",False,13204
"Москва, Осенняя улица, 24",Пятёрочка,5,Супермаркет,"Классная пятерочка, обладает особым уютом ) \nНравится, что ценники всегда актуальные и на своих местах и конечно не может радовать гондола с Мартини, это выглядит красиво! \nСпасибо директору магазина за ее добросовестный труд и заботу о магазине и сотрудниках! ",False,13252
"Москва, Новочеркасский бульвар, 5, стр. 3",Пятёрочка,5,Супермаркет,"Винчик норм так, можно найти за приемлемую цену приличное вино, не как в КБ хоть за 3000 хоть за 300 всё сплошное палево, туи хоть можно нарваться на достойный алкоголь если разбираешься конечно, менеджерам закупки 5ки отдельный респект, я всё сказал \n",False,13437
"Нижегородская область, Богородский муниципальный округ, деревня Берёзовка, Комсомольская улица, 1А",Пятёрочка,5,Супермаркет,"Широкий ассортимент товара, вежливый персонал, удобная парковка, отсутствие очередей на кассах, чисто",False,13506
"Москва, Судостроительная улица, 23, корп. 1",Пятёрочка,2,Супермаркет,"Был несколько раз, отношение персонала просто ужасное, охрана хамы, готовые толпой избить за взгляд, расположение продуктов совершенно неправильное, многие товары с исходящим сроком годности, людям приходится спускаться в подвал по лестнице к другим товарам, это хлеб и другие основные продукты, а как же инвалиды, а им не помогают вообще. Место точно не для Москвы. Такого беспредела давно не видел.",False,13613
